[2020-12-09T19:15:39.886933+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-09T19:57:07.105242+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:58:31.224221+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T19:58:31.293251+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:59:45.185487+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-09T19:59:45.316817+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-09T19:59:45.426508+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-09T19:59:45.525908+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T19:59:45.602643+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-09T19:59:45.689108+08:00] log.DEBUG: SELECT `userlevelid` AS `lf`, `userlevelname` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `userlevels` [] []
[2020-12-09T20:02:42.717974+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-09T20:02:42.856030+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-09T20:02:42.994902+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-09T20:02:43.134778+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-09T20:02:43.255103+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T20:02:43.379698+08:00] log.DEBUG: SELECT `userlevelid` AS `lf`, `userlevelname` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `userlevels` [] []
[2020-12-09T20:03:38.963395+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-09T20:03:39.091434+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-09T20:03:39.200095+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-09T20:03:39.288750+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-09T20:03:39.372287+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-09T20:03:39.442895+08:00] log.DEBUG: SELECT `userlevelid` AS `lf`, `userlevelname` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `userlevels` [] []
[2020-12-09T20:04:15.051763+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:04:15.160397+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:04:21.623657+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:04:21.721188+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:04:33.545908+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:04:33.617956+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:04:37.893132+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:04:37.965165+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:04:45.090824+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:04:45.160447+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:04:49.222645+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:04:49.306312+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:04:54.036940+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:04:54.125102+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:05:00.405671+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:05:00.514712+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:05:05.536510+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:05:05.598568+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-09T20:05:10.735302+08:00] log.DEBUG: SELECT `shift_id` AS `lf`, `shift_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_shift` [] []
[2020-12-09T20:05:10.802338+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
