[2020-12-12T13:21:38.597134+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-12T13:31:23.157255+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:34:57.358079+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:39:59.355417+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:40:04.340122+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:40:09.016638+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:41:14.732017+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:41:20.055005+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:41:23.485926+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:43:22.395907+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:44:18.065054+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:44:24.296669+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:51:33.444529+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:51:38.294024+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:56:09.380071+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:56:16.227115+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T13:57:26.426524+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:00:20.087176+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:00:24.199315+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:01:40.726473+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:01:45.280101+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:01:57.235579+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:03:18.422523+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:03:36.495174+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:03:42.189701+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:17:46.992878+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:17:50.513493+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:18:12.801867+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:20:36.220176+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:20:44.092357+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:22:45.669206+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:24:12.666324+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:30:28.842121+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:30:35.527343+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:31:28.798116+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:40:48.760572+08:00] log.DEBUG: Slim Application Error Type: Error Code: 0 Message: Call to undefined function MEM\prjMitralPHP\ew_ExecuteScalar() File: C:\xampp\htdocs\mem\models\EmployeeQuotation.php Line: 1275 Trace: #0 C:\xampp\htdocs\mem\models\EmployeeQuotationAdd.php(748): MEM\prjMitralPHP\EmployeeQuotation->rowRendering() #1 C:\xampp\htdocs\mem\models\EmployeeQuotationAdd.php(567): MEM\prjMitralPHP\EmployeeQuotationAdd->renderRow() #2 C:\xampp\htdocs\mem\controllers\ControllerBase.php(50): MEM\prjMitralPHP\EmployeeQuotationAdd->run() #3 C:\xampp\htdocs\mem\controllers\EmployeeQuotationController.php(20): MEM\prjMitralPHP\ControllerBase->runPage(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array, 'EmployeeQuotati...') #4 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Handlers\Strategies\RequestResponse.php(43): MEM\prjMitralPHP\EmployeeQuotationController->add(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #5 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Routing\Route.php(384): Slim\Handlers\Strategies\RequestResponse->__invoke(Array, Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #6 C:\xampp\htdocs\mem\src\PermissionMiddleware.php(115): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #7 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(209): MEM\prjMitralPHP\PermissionMiddleware->__invoke(Object(Slim\Http\ServerRequest), Object(Slim\Routing\Route)) #8 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(81): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #9 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(81): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #10 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Routing\Route.php(341): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #11 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Routing\RouteRunner.php(84): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #12 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Middleware\BodyParsingMiddleware.php(68): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #13 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Slim\Middleware\BodyParsingMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #14 C:\xampp\htdocs\mem\src\CorsMiddleware.php(32): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #15 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): MEM\prjMitralPHP\CorsMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #16 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Middleware\RoutingMiddleware.php(59): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #17 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Slim\Middleware\RoutingMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #18 C:\xampp\htdocs\mem\vendor\selective\samesite-cookie\src\SameSiteCookieMiddleware.php(52): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #19 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Selective\SameSiteCookie\SameSiteCookieMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #20 C:\xampp\htdocs\mem\vendor\selective\samesite-cookie\src\SameSiteSessionMiddleware.php(50): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #21 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Selective\SameSiteCookie\SameSiteSessionMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #22 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Middleware\ErrorMiddleware.php(107): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #23 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #24 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(81): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #25 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\App.php(215): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #26 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\App.php(199): Slim\App->handle(Object(Slim\Http\ServerRequest)) #27 C:\xampp\htdocs\mem\index.php(116): Slim\App->run() #28 {main} [] []
[2020-12-12T14:48:52.112462+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:49:12.762646+08:00] log.DEBUG: Slim Application Error Type: Error Code: 0 Message: Object of class Doctrine\DBAL\Driver\Mysqli\Statement could not be converted to string File: C:\xampp\htdocs\mem\models\EmployeeQuotation.php Line: 1277 Trace: #0 C:\xampp\htdocs\mem\models\EmployeeQuotationAdd.php(748): MEM\prjMitralPHP\EmployeeQuotation->rowRendering() #1 C:\xampp\htdocs\mem\models\EmployeeQuotationAdd.php(567): MEM\prjMitralPHP\EmployeeQuotationAdd->renderRow() #2 C:\xampp\htdocs\mem\controllers\ControllerBase.php(50): MEM\prjMitralPHP\EmployeeQuotationAdd->run() #3 C:\xampp\htdocs\mem\controllers\EmployeeQuotationController.php(20): MEM\prjMitralPHP\ControllerBase->runPage(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array, 'EmployeeQuotati...') #4 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Handlers\Strategies\RequestResponse.php(43): MEM\prjMitralPHP\EmployeeQuotationController->add(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #5 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Routing\Route.php(384): Slim\Handlers\Strategies\RequestResponse->__invoke(Array, Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #6 C:\xampp\htdocs\mem\src\PermissionMiddleware.php(115): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #7 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(209): MEM\prjMitralPHP\PermissionMiddleware->__invoke(Object(Slim\Http\ServerRequest), Object(Slim\Routing\Route)) #8 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(81): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #9 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(81): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #10 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Routing\Route.php(341): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #11 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Routing\RouteRunner.php(84): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #12 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Middleware\BodyParsingMiddleware.php(68): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #13 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Slim\Middleware\BodyParsingMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #14 C:\xampp\htdocs\mem\src\CorsMiddleware.php(32): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #15 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): MEM\prjMitralPHP\CorsMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #16 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Middleware\RoutingMiddleware.php(59): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #17 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Slim\Middleware\RoutingMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #18 C:\xampp\htdocs\mem\vendor\selective\samesite-cookie\src\SameSiteCookieMiddleware.php(52): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #19 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Selective\SameSiteCookie\SameSiteCookieMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #20 C:\xampp\htdocs\mem\vendor\selective\samesite-cookie\src\SameSiteSessionMiddleware.php(50): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #21 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Selective\SameSiteCookie\SameSiteSessionMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #22 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\Middleware\ErrorMiddleware.php(107): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #23 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(147): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(class@anonymous)) #24 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\MiddlewareDispatcher.php(81): class@anonymous->handle(Object(Slim\Http\ServerRequest)) #25 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\App.php(215): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #26 C:\xampp\htdocs\mem\vendor\slim\slim\Slim\App.php(199): Slim\App->handle(Object(Slim\Http\ServerRequest)) #27 C:\xampp\htdocs\mem\index.php(116): Slim\App->run() #28 {main} [] []
[2020-12-12T14:53:49.414549+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T14:54:57.510866+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:00:29.304875+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:01:08.442172+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:03:19.912205+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:05:31.572736+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:05:35.168434+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:05:39.169892+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:06:03.866216+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:06:25.242440+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:08:38.167554+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:11:19.234306+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:11:29.787885+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:12:19.986607+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:12:25.442734+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:12:51.210022+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:13:54.391247+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:14:06.068186+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:15:58.978687+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:16:20.935381+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:19:32.079108+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:21:09.526464+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:22:29.329392+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:23:05.595586+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:24:03.153188+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:25:07.303913+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:29:49.045888+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T15:35:49.897110+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T16:15:34.080216+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('139715') [] []
[2020-12-12T16:17:04.737417+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('171494') [] []
[2020-12-12T16:17:13.991057+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'MITRAL/20/12/Q/00000%' LIMIT 10 [] []
[2020-12-12T16:17:16.631717+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/00000') [] []
[2020-12-12T16:17:17.360757+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'MITRAL/20/12/Q/00000%' LIMIT 10 [] []
[2020-12-12T16:17:20.849975+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/00000') [] []
[2020-12-12T16:17:22.578748+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'MITRAL/20/12/Q/00000%' LIMIT 10 [] []
[2020-12-12T16:17:26.143358+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/000001') [] []
[2020-12-12T16:18:42.810726+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/000001') [] []
[2020-12-12T16:19:57.489608+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/000001') [] []
[2020-12-12T19:16:53.759510+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('162246') [] []
